"","Continent_Name","geo","country","lifeeexp_2021","Income per person","GDP total","growth_2021","date","people_fully_vaccinated_per_hundred","people_vaccinated_per_hundred","verficiation_vaccination_par_100","total_vaccinations_per_hundred","people_fully_vaccinated","total_boosters","total_vaccinations","population_2021"
"134","Europe","pol","Poland",78.71,33477,1265331380483,4.65,2021-12-20,55.19,56.68,120.975185861312,120.98,20861652,6001613,45724991,37797000
"135","Europe","prt","Portugal",82.2,33626,341901783772,5.01,2021-12-20,89.1,89.1,184.96407771774,184.96,9059512,2325024,18807005,10167923
"136","Africa","gnb","Guinea-Bissau",61.31,1915,3859054011,1.74,2021-12-20,1.13,19.31,20.4417784260899,20.44,22845,NA,412002,2015490
"137","Asia","qat","Qatar",80.73,89352,261849576198,3.35,2021-12-20,75.7,80.54,174.671048590627,174.67,2218292,NA,5118777,2930524
"138","Europe","rou","Romania",75.7,30683,586902936094,4.81,2021-12-20,40.4,41.24,81.702129239098,81.7,7726940,NA,15627797,19127772
"139","Europe","rus","Russia",72.81,27197,3968310654075,3.83,2021-12-20,43.66,49.25,96.1246517439118,96.12,63708591,5981515,140257423,145912022
"140","Asia","rus","Russia",72.81,27197,3968310654075,3.83,2021-12-20,43.66,49.25,96.1246517439118,96.12,63708591,5981515,140257423,145912022
"141","Africa","rwa","Rwanda",69.74,2248,29843548535,4.45,2021-12-20,31.5,51.58,83.0797715997351,83.08,4182307,NA,11030100,13276517
"142","Europe","smr","San Marino",NA,56609,1925277576,3.06,2021-12-20,63.58,71.4,153.022640399882,153.02,21623,NA,52043,34010
"143","Africa","stp","Sao Tome and Principe",67.67,3651,815604322,3.15,2021-12-20,22.93,38.68,61.6088537096399,61.61,51216,NA,137612,223364
"144","Asia","sau","Saudi Arabia",77.43,44534,1573877832885,1.99,2021-12-20,64.96,70.42,137.166143945165,137.17,22958830,NA,48475448,35340680
"145","Africa","sen","Senegal",69.16,3408,58608161608,3.16,2021-12-20,5.47,7.72,13.1969199435135,13.2,941230,NA,2269383,17196308
"146","Europe","srb","Serbia",76.31,19227,167231630840,4.92,2021-12-20,46.16,47.91,93.1296835763003,117.88,3172131,1635856,8099998,8697547
"147","Africa","syc","Seychelles",73.92,25346,2506924974,3.33,2021-12-20,79.1,83.23,185.352340511576,185.35,78238,NA,183332,98910
"148","Africa","sle","Sierra Leone",62.14,1658,13500598872,1.38,2021-12-20,4.73,9.18,11.3480048684842,11.35,385232,NA,923880,8141343
"149","Asia","sgp","Singapore",85.42,94610,557882618041,2.04,2021-12-20,87,87,160.925428596818,174,4744632,622452,9489264,5896684
"150","Asia","vnm","Vietnam",74.88,8648,848968527469,6.23,2021-12-20,57.44,77.11,141.361125943552,141.36,56385381,NA,138772562,98168829
